mac_cliente,frecuencia
8.212.12.130.83.142,36
172.253.206.125.31.69,28
0.135.1.143.215.55,24
176.197.89.188.18.183,20
216.252.147.127.63.210,19
160.136.105.217.238.170,12
184.8.207.139.35.131,12
0.22.235.183.118.194,11
160.211.122.242.222.191,10
160.211.122.242.202.176,10
160.211.122.242.196.197,10
160.136.105.218.33.229,10
160.211.122.242.205.173,9
184.8.207.139.103.43,9
184.8.207.139.180.86,8
160.211.122.242.210.83,8
160.136.105.218.32.35,8
160.136.105.218.36.181,7
240.3.140.45.251.130,7
180.213.189.242.128.35,7
184.8.207.139.113.203,6
124.28.104.47.150.217,6
224.118.208.87.137.208,6
224.118.208.88.44.68,5
160.136.105.218.21.36,4
180.213.189.242.137.216,4
160.136.105.216.117.137,3
184.8.207.139.175.96,3
0.224.76.164.87.210,3
24.103.176.145.17.169,2
164.186.219.182.233.33,2
172.131.243.166.47.84,2
0.224.76.62.102.106,2
0.224.76.60.117.33,2
0.224.76.181.231.191,2
128.155.32.159.146.108,1
124.11.198.254.161.35,1
184.8.215.195.69.39,1
0.224.76.233.14.26,1
224.118.208.88.66.192,1
24.227.188.238.210.63,1
0.224.76.164.51.121,1
56.212.11.89.188.38,1
64.211.174.36.107.238,1
64.240.47.159.164.139,1
0.224.76.164.100.190,1
88.201.53.39.174.60,1
