MAC_AP_hexa,building_id
00:35:1A:05:9A:00,891
00:35:1A:05:EF:D0,1318
00:35:1A:05:F4:C0,1052
00:35:1A:05:F6:60,1308
00:35:1A:05:F7:80,1406
00:35:1A:08:24:30,602
00:35:1A:08:28:E0,152
00:35:1A:08:29:30,517
00:35:1A:11:AA:40,1044
00:35:1A:11:AA:50,891
00:35:1A:11:AC:50,295
00:35:1A:11:AD:80,1279
00:35:1A:11:B1:40,1052
00:35:1A:11:B1:70,517
00:35:1A:11:B3:80,1307
00:35:1A:19:D9:20,873
00:35:1A:35:6E:70,295
00:35:1A:35:79:E0,869
00:35:1A:35:7B:60,873
00:35:1A:35:7B:90,295
00:35:1A:35:7B:B0,1096
00:35:1A:35:7C:40,873
00:35:1A:35:7D:E0,873
00:35:1A:35:7E:00,1333
00:35:1A:35:7E:90,1307
00:35:1A:35:7F:00,1052
00:35:1A:35:7F:20,489
00:35:1A:35:7F:70,1318
00:35:1A:35:80:00,873
00:35:1A:35:81:40,718
00:35:1A:35:81:50,1383
00:35:1A:35:85:30,517
00:3A:7D:09:C0:80,1193
00:3A:7D:09:C1:70,709
00:3A:7D:09:C1:D0,825
00:3A:7D:09:C2:00,825
00:3A:7D:09:C2:A0,963
00:3A:7D:09:C2:B0,416
00:3A:7D:09:C2:E0,677
00:3A:7D:09:C3:50,625
00:3A:7D:09:C3:60,1099
00:3A:7D:09:C3:F0,546
00:3A:7D:09:C4:60,465
00:3A:7D:09:C4:D0,875
00:3A:7D:09:C5:00,709
00:3A:7D:09:C5:10,677
00:3A:7D:09:C5:80,1383
00:3A:7D:09:C5:D0,579
00:3A:7D:09:C5:E0,875
00:3A:7D:09:C7:20,563
00:3A:7D:09:C7:40,1414
00:3A:7D:09:C8:10,1227
00:3A:7D:09:C8:20,620
00:3A:7D:12:90:E0,939
00:3A:7D:13:4F:50,465
00:3A:7D:13:50:80,1341
00:3A:7D:13:50:D0,963
00:3A:7D:13:51:20,504
00:3A:7D:13:51:50,1398
00:3A:7D:13:51:A0,963
00:3A:7D:13:52:70,1383
00:3A:7D:13:52:90,1414
00:3A:7D:13:52:C0,625
00:3A:7D:13:53:60,1414
00:3A:7D:13:53:E0,1307
00:3A:7D:13:55:10,1255
00:3A:7D:13:55:40,379
00:3A:7D:13:55:90,1097
00:3A:7D:13:57:40,414
00:3A:7D:13:85:F0,414
00:3A:7D:13:8B:20,1407
00:3A:7D:13:8B:C0,736
00:3A:7D:13:8C:20,563
00:3A:7D:13:8C:50,1084
00:3A:7D:13:8C:60,14
00:3A:7D:13:8D:80,1099
00:3A:7D:13:8E:70,781
00:3A:7D:13:8E:90,565
00:3A:7D:13:8E:C0,423
00:3A:7D:13:8F:00,1396
00:3A:7D:13:8F:40,781
00:3A:7D:13:8F:70,565
00:3A:7D:13:8F:90,890
