mac_cliente,mac_ap,banda,antena,rssi
20.95.148.0.6.90,40.111.127.12.19.80,0,0,-80
20.95.148.0.6.90,40.111.127.12.19.80,0,1,-83
20.95.148.0.6.90,40.111.127.12.20.176,0,0,-82
20.95.148.0.6.90,40.111.127.12.20.176,0,1,-86
20.95.148.0.6.90,40.111.127.12.20.240,0,0,-67
20.95.148.0.6.90,40.111.127.12.20.240,0,1,-76
20.95.148.0.6.90,40.111.127.201.212.128,0,0,-94
20.95.148.0.6.90,40.111.127.201.212.128,0,1,-97
20.95.148.0.6.90,40.111.127.201.216.80,0,0,-92
20.95.148.0.6.90,40.111.127.201.216.80,0,1,-93
20.95.148.0.6.90,40.111.127.201.217.16,0,0,-96
20.95.148.0.6.90,40.111.127.201.217.16,0,1,-94
20.95.148.0.6.90,40.111.127.201.217.160,0,0,-91
20.95.148.0.6.90,40.111.127.201.217.160,0,1,-93
20.95.148.0.6.90,40.111.127.223.82.112,0,0,-77
20.95.148.0.6.90,40.111.127.223.82.112,0,1,-76
20.95.148.0.6.90,40.111.127.223.85.240,0,0,-96
20.95.148.0.6.90,40.111.127.223.85.240,0,1,-92
20.95.148.0.6.90,44.208.45.132.34.96,0,0,-85
20.95.148.0.6.90,44.208.45.132.34.96,0,1,-91
20.95.148.0.6.90,44.208.45.132.34.128,0,0,-82
20.95.148.0.6.90,44.208.45.132.34.128,0,1,-83
20.95.148.0.6.90,44.208.45.132.63.32,0,0,-97
20.95.148.0.6.90,44.208.45.132.63.32,0,1,-98
20.95.148.0.6.90,44.208.45.141.242.192,0,0,-76
20.95.148.0.6.90,44.208.45.141.242.192,0,1,-82
20.95.148.0.6.90,44.208.45.141.255.96,0,0,-81
20.95.148.0.6.90,44.208.45.141.255.96,0,1,-76
20.95.148.0.6.90,160.224.175.216.51.128,0,0,-99
20.95.148.0.6.90,160.224.175.216.51.128,0,1,-97
28.203.153.245.130.207,40.111.127.12.19.80,0,0,-94
28.203.153.245.130.207,40.111.127.12.19.80,0,1,-98
28.203.153.245.130.207,40.111.127.12.20.112,0,0,-94
28.203.153.245.130.207,40.111.127.12.20.112,0,1,-95
28.203.153.245.130.207,40.111.127.12.20.176,0,0,-97
28.203.153.245.130.207,40.111.127.12.20.176,0,1,-95
28.203.153.245.130.207,40.111.127.12.20.240,0,0,-70
28.203.153.245.130.207,40.111.127.12.20.240,0,1,-74
28.203.153.245.130.207,40.111.127.201.216.80,0,0,-92
28.203.153.245.130.207,40.111.127.201.216.80,0,1,-92
28.203.153.245.130.207,40.111.127.223.82.112,0,0,-93
28.203.153.245.130.207,40.111.127.223.82.112,0,1,-90
28.203.153.245.130.207,40.111.127.223.85.240,0,0,-90
28.203.153.245.130.207,40.111.127.223.85.240,0,1,-89
28.203.153.245.130.207,44.208.45.127.104.176,0,0,-98
28.203.153.245.130.207,44.208.45.127.104.176,0,1,-99
28.203.153.245.130.207,44.208.45.132.34.128,0,0,-94
28.203.153.245.130.207,44.208.45.132.34.128,0,1,-94
28.203.153.245.130.207,44.208.45.132.35.144,0,0,-95
28.203.153.245.130.207,44.208.45.132.35.144,0,1,-95
28.203.153.245.130.207,44.208.45.132.53.144,0,0,-96
28.203.153.245.130.207,44.208.45.132.53.144,0,1,-94
28.203.153.245.130.207,44.208.45.132.63.32,0,0,-97
28.203.153.245.130.207,44.208.45.132.63.32,0,1,-96
28.203.153.245.130.207,44.208.45.132.63.208,0,0,-94
28.203.153.245.130.207,44.208.45.132.63.208,0,1,-94
28.203.153.245.130.207,44.208.45.141.242.192,0,0,-89
28.203.153.245.130.207,44.208.45.141.242.192,0,1,-87
28.203.153.245.130.207,44.208.45.141.255.96,0,0,-88
28.203.153.245.130.207,44.208.45.141.255.96,0,1,-91
28.203.153.245.130.207,160.224.175.216.51.128,0,0,-97
28.203.153.245.130.207,160.224.175.216.51.128,0,1,-97
44.174.43.102.36.203,40.111.127.12.19.80,0,0,-82
44.174.43.102.36.203,40.111.127.12.19.80,0,1,-77
44.174.43.102.36.203,40.111.127.12.20.176,0,0,-84
44.174.43.102.36.203,40.111.127.12.20.176,0,1,-92
44.174.43.102.36.203,40.111.127.12.20.240,0,0,-65
44.174.43.102.36.203,40.111.127.12.20.240,0,1,-75
44.174.43.102.36.203,40.111.127.198.159.192,0,0,-94
44.174.43.102.36.203,40.111.127.198.159.192,0,1,-96
44.174.43.102.36.203,40.111.127.201.212.128,0,0,-94
44.174.43.102.36.203,40.111.127.201.212.128,0,1,-93
44.174.43.102.36.203,40.111.127.201.216.80,0,0,-94
44.174.43.102.36.203,40.111.127.201.216.80,0,1,-92
44.174.43.102.36.203,40.111.127.201.217.16,0,0,-91
44.174.43.102.36.203,40.111.127.201.217.16,0,1,-89
44.174.43.102.36.203,40.111.127.201.217.160,0,0,-96
44.174.43.102.36.203,40.111.127.201.217.160,0,1,-99
44.174.43.102.36.203,40.111.127.223.82.112,0,0,-80
44.174.43.102.36.203,40.111.127.223.82.112,0,1,-80
44.174.43.102.36.203,40.111.127.223.85.240,0,0,-96
44.174.43.102.36.203,40.111.127.223.85.240,0,1,-93
44.174.43.102.36.203,44.208.45.132.34.128,0,0,-88
44.174.43.102.36.203,44.208.45.132.34.128,0,1,-87
44.174.43.102.36.203,44.208.45.132.63.32,0,0,-96
44.174.43.102.36.203,44.208.45.132.63.32,0,1,-99
44.174.43.102.36.203,44.208.45.132.63.208,0,0,-92
44.174.43.102.36.203,44.208.45.132.63.208,0,1,-93
44.174.43.102.36.203,44.208.45.141.242.192,0,0,-86
44.174.43.102.36.203,44.208.45.141.242.192,0,1,-84
44.174.43.102.36.203,44.208.45.141.255.96,0,0,-55
44.174.43.102.36.203,44.208.45.141.255.96,0,1,-47
