mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index
0.111.100.54.40.58,44.208.45.106.167.16,0,0,-82,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.106.167.16,0,1,-83,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.125.172.128,0,0,-72,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.125.172.128,0,1,-86,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.127.67.64,0,0,-99,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.127.67.64,0,1,-94,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.127.103.160,0,0,-69,2018-10-25,11:05,1,1
0.111.100.54.40.58,44.208.45.127.103.160,0,1,-70,2018-10-25,11:05,1,1
0.135.1.131.156.175,0.66.104.213.240.0,0,0,-97,2018-02-20,19:05,2,1
0.135.1.131.156.175,0.66.104.213.240.0,0,1,-99,2018-02-20,19:05,2,1
0.135.1.131.156.175,44.208.45.106.167.16,0,0,-96,2018-02-20,19:05,2,1
0.135.1.131.156.175,44.208.45.106.167.16,0,1,-96,2018-02-20,19:05,2,1
0.135.1.131.156.175,44.208.45.125.172.128,0,0,-97,2018-02-20,19:05,2,1
0.135.1.131.156.175,44.208.45.125.172.128,0,1,-98,2018-02-20,19:05,2,1
0.135.1.131.156.175,44.208.45.127.67.64,0,0,-88,2018-02-20,19:05,2,1
0.135.1.131.156.175,44.208.45.127.67.64,0,1,-91,2018-02-20,19:05,2,1
0.135.1.131.156.175,44.208.45.127.103.160,0,0,-97,2018-02-20,19:05,2,1
0.135.1.131.156.175,44.208.45.127.103.160,0,1,-97,2018-02-20,19:05,2,1
0.135.1.143.215.55,0.66.104.213.240.0,0,0,-98,2018-04-05,11:05,3,1
0.135.1.143.215.55,0.66.104.213.240.0,0,1,-99,2018-04-05,11:05,3,1
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-71,2018-04-05,11:05,3,1
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-62,2018-04-05,11:05,3,1
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-49,2018-04-05,11:05,3,1
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-59,2018-04-05,11:05,3,1
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-87,2018-04-05,11:05,3,1
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-89,2018-04-05,11:05,3,1
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-91,2018-04-05,11:05,3,1
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-92,2018-04-05,11:05,3,1
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-81,2018-05-08,11:05,3,2
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-91,2018-05-08,11:05,3,2
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-05-08,11:05,3,2
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-97,2018-05-08,11:05,3,2
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-77,2018-05-08,11:05,3,2
