mac_cliente,mac_ap,rssi,time_step
0.135.1.131.156.175,0.66.104.213.240.0,-97,0
0.135.1.131.156.175,0.66.104.213.240.0,-97,1
0.135.1.131.156.175,0.66.104.213.240.0,-97,2
0.135.1.131.156.175,0.66.104.213.240.0,-97,3
0.135.1.131.156.175,0.66.104.213.240.0,-98,4
0.135.1.131.156.175,0.66.104.213.240.0,-98,5
0.135.1.131.156.175,0.66.104.213.240.0,-98,6
0.135.1.131.156.175,0.66.104.213.240.0,-98,7
0.135.1.131.156.175,0.66.104.213.240.0,-98,8
0.135.1.131.156.175,0.66.104.213.240.0,-98,9
0.135.1.131.156.175,0.66.104.213.240.0,-97,10
0.135.1.131.156.175,0.66.104.213.240.0,-97,11
0.135.1.131.156.175,0.66.104.213.240.0,-97,12
0.135.1.131.156.175,0.66.104.213.240.0,-97,13
0.135.1.131.156.175,0.66.104.213.240.0,-97,14
0.135.1.131.156.175,0.66.104.213.240.0,-97,15
0.135.1.131.156.175,0.66.104.213.240.0,-98,16
0.135.1.131.156.175,0.66.104.213.240.0,-98,17
0.135.1.131.156.175,0.66.104.213.240.0,-98,18
0.135.1.131.156.175,0.66.104.213.240.0,-99,19
0.135.1.131.156.175,44.208.45.106.167.16,-96,25
0.135.1.131.156.175,44.208.45.106.167.16,-96,26
0.135.1.131.156.175,44.208.45.106.167.16,-96,27
0.135.1.131.156.175,44.208.45.106.167.16,-96,28
0.135.1.131.156.175,44.208.45.106.167.16,-96,29
0.135.1.131.156.175,44.208.45.106.167.16,-96,30
0.135.1.131.156.175,44.208.45.106.167.16,-96,31
0.135.1.131.156.175,44.208.45.106.167.16,-96,32
0.135.1.131.156.175,44.208.45.106.167.16,-96,33
0.135.1.131.156.175,44.208.45.106.167.16,-96,34
0.135.1.131.156.175,44.208.45.106.167.16,-96,35
0.135.1.131.156.175,44.208.45.106.167.16,-96,36
0.135.1.131.156.175,44.208.45.106.167.16,-96,37
0.135.1.131.156.175,44.208.45.106.167.16,-96,38
0.135.1.131.156.175,44.208.45.106.167.16,-96,39
0.135.1.131.156.175,44.208.45.106.167.16,-96,40
0.135.1.131.156.175,44.208.45.106.167.16,-96,41
0.135.1.131.156.175,44.208.45.106.167.16,-96,42
0.135.1.131.156.175,44.208.45.106.167.16,-96,43
0.135.1.131.156.175,44.208.45.106.167.16,-96,44
0.135.1.131.156.175,44.208.45.125.172.128,-97,50
0.135.1.131.156.175,44.208.45.125.172.128,-97,51
0.135.1.131.156.175,44.208.45.125.172.128,-97,52
0.135.1.131.156.175,44.208.45.125.172.128,-97,53
0.135.1.131.156.175,44.208.45.125.172.128,-97,54
0.135.1.131.156.175,44.208.45.125.172.128,-97,55
0.135.1.131.156.175,44.208.45.125.172.128,-97,56
0.135.1.131.156.175,44.208.45.125.172.128,-97,57
0.135.1.131.156.175,44.208.45.125.172.128,-97,58
0.135.1.131.156.175,44.208.45.125.172.128,-97,59
0.135.1.131.156.175,44.208.45.125.172.128,-97,60
0.135.1.131.156.175,44.208.45.125.172.128,-97,61
0.135.1.131.156.175,44.208.45.125.172.128,-97,62
0.135.1.131.156.175,44.208.45.125.172.128,-97,63
0.135.1.131.156.175,44.208.45.125.172.128,-97,64
0.135.1.131.156.175,44.208.45.125.172.128,-97,65
0.135.1.131.156.175,44.208.45.125.172.128,-97,66
0.135.1.131.156.175,44.208.45.125.172.128,-97,67
0.135.1.131.156.175,44.208.45.125.172.128,-97,68
0.135.1.131.156.175,44.208.45.125.172.128,-98,69
0.135.1.131.156.175,44.208.45.127.103.160,-97,75
0.135.1.131.156.175,44.208.45.127.103.160,-97,76
0.135.1.131.156.175,44.208.45.127.103.160,-97,77
0.135.1.131.156.175,44.208.45.127.103.160,-97,78
0.135.1.131.156.175,44.208.45.127.103.160,-97,79
