mac_cliente,mac_ap,banda,rssi,time_step
40.39.191.157.33.63,0.66.104.213.240.0,0,-90,12
40.39.191.157.33.63,0.66.104.213.240.0,0,-84,13
40.39.191.157.33.63,0.66.104.213.240.0,0,-78,14
40.39.191.157.33.63,0.66.104.213.240.0,0,-72,15
40.39.191.157.33.63,0.66.104.213.240.0,0,-66,16
40.39.191.157.33.63,0.66.104.213.240.0,0,-60,17
40.39.191.157.33.63,0.66.104.213.240.0,0,-54,18
40.39.191.157.33.63,0.66.104.213.240.0,0,-48,19
40.39.191.157.33.63,0.66.104.213.240.0,0,-42,20
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,20
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,21
40.39.191.157.33.63,0.66.104.213.240.0,0,-36,21
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,22
40.39.191.157.33.63,0.66.104.213.240.0,0,-37,22
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,23
40.39.191.157.33.63,0.66.104.213.240.0,0,-44,23
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,24
40.39.191.157.33.63,0.66.104.213.240.0,0,-50,24
40.39.191.157.33.63,0.66.104.213.240.0,0,-56,25
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,25
40.39.191.157.33.63,0.66.104.213.240.0,0,-62,26
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,26
40.39.191.157.33.63,0.66.104.213.240.0,0,-68,27
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,27
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,28
40.39.191.157.33.63,0.66.104.213.240.0,0,-74,28
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,29
40.39.191.157.33.63,0.66.104.213.240.0,0,-80,29
40.39.191.157.33.63,0.66.104.213.240.0,0,-86,30
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,30
40.39.191.157.33.63,0.66.104.213.240.0,0,-88,31
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,31
216.252.147.127.63.210,0.66.104.213.240.0,0,-97,31
40.39.191.157.33.63,0.66.104.213.240.0,0,-82,32
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,32
216.252.147.127.63.210,0.66.104.213.240.0,0,-95,32
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,33
40.39.191.157.33.63,0.66.104.213.240.0,0,-76,33
216.252.147.127.63.210,0.66.104.213.240.0,0,-93,33
216.252.147.127.63.210,0.66.104.213.240.0,0,-93,34
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,34
40.39.191.157.33.63,0.66.104.213.240.0,0,-70,34
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,34
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,35
216.252.147.127.63.210,0.66.104.213.240.0,0,-93,35
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,35
40.39.191.157.33.63,0.66.104.213.240.0,0,-64,35
40.39.191.157.33.63,0.66.104.213.240.0,0,-58,36
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,36
216.252.147.127.63.210,0.66.104.213.240.0,0,-93,36
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,36
40.39.191.157.33.63,0.66.104.213.240.0,0,-52,37
216.252.147.127.63.210,0.66.104.213.240.0,0,-95,37
8.212.12.130.83.142,0.66.104.213.240.0,0,-56,37
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,37
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,37
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,38
40.39.191.157.33.63,0.66.104.213.240.0,0,-46,38
216.252.147.127.63.210,0.66.104.213.240.0,0,-97,38
8.212.12.130.83.142,0.66.104.213.240.0,0,-59,38
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,38
216.252.147.127.63.210,0.66.104.213.240.0,0,-97,39
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,39
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,39
8.212.12.130.83.142,0.66.104.213.240.0,0,-63,39
40.39.191.157.33.63,0.66.104.213.240.0,0,-40,39
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,40
40.39.191.157.33.63,0.66.104.213.240.0,0,-34,40
8.212.12.130.83.142,0.66.104.213.240.0,0,-64,40
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,40
216.252.147.127.63.210,0.66.104.213.240.0,0,-97,40
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,41
216.252.147.127.63.210,0.66.104.213.240.0,0,-95,41
8.212.12.130.83.142,0.66.104.213.240.0,0,-65,41
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,41
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,42
8.212.12.130.83.142,0.66.104.213.240.0,0,-61,42
216.252.147.127.63.210,0.66.104.213.240.0,0,-94,42
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,42
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,43
8.212.12.130.83.142,0.66.104.213.240.0,0,-58,43
216.252.147.127.63.210,0.66.104.213.240.0,0,-93,43
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,43
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,44
8.212.12.130.83.142,0.66.104.213.240.0,0,-56,44
216.252.147.127.63.210,0.66.104.213.240.0,0,-95,44
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,44
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,45
216.252.147.127.63.210,0.66.104.213.240.0,0,-97,45
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,45
8.212.12.130.83.142,0.66.104.213.240.0,0,-57,45
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,46
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,46
176.197.89.188.18.183,0.66.104.213.240.0,0,-98,46
8.212.12.130.83.142,0.66.104.213.240.0,0,-60,46
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,47
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,47
8.212.12.130.83.142,0.66.104.213.240.0,0,-62,47
176.197.89.188.18.183,0.66.104.213.240.0,0,-97,47
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,48
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,48
8.212.12.130.83.142,0.66.104.213.240.0,0,-62,48
176.197.89.188.18.183,0.66.104.213.240.0,0,-96,48
240.3.140.45.251.130,0.66.104.213.240.0,0,-51,49
8.212.12.130.83.142,0.66.104.213.240.0,0,-65,49
176.197.89.188.18.183,0.66.104.213.240.0,0,-95,49
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,49
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,50
8.212.12.130.83.142,0.66.104.213.240.0,0,-68,50
176.197.89.188.18.183,0.66.104.213.240.0,0,-95,50
164.186.219.182.232.26,0.66.104.213.240.0,0,-94,51
176.197.89.188.18.183,0.66.104.213.240.0,0,-94,51
8.212.12.130.83.142,0.66.104.213.240.0,0,-66,51
176.197.89.188.18.183,0.66.104.213.240.0,0,-93,52
