mac_cliente,mac_ap,banda,antena,rssi,date,time
20.31.120.28.6.61,0.66.104.213.240.0,0,0,-95,2018-04-04,11:05
20.31.120.28.6.61,0.66.104.213.240.0,0,1,-97,2018-04-04,11:05
20.31.120.28.6.61,44.208.45.106.167.16,0,0,-54,2018-04-04,11:05
20.31.120.28.6.61,44.208.45.106.167.16,0,1,-53,2018-04-04,11:05
20.31.120.28.6.61,44.208.45.125.172.128,0,0,-51,2018-04-04,11:05
20.31.120.28.6.61,44.208.45.125.172.128,0,1,-42,2018-04-04,11:05
20.31.120.28.6.61,44.208.45.127.67.64,0,0,-96,2018-04-04,11:05
20.31.120.28.6.61,44.208.45.127.67.64,0,1,-93,2018-04-04,11:05
20.31.120.28.6.61,44.208.45.127.103.160,0,0,-87,2018-04-04,11:05
20.31.120.28.6.61,44.208.45.127.103.160,0,1,-87,2018-04-04,11:05
24.33.149.227.215.219,0.66.104.213.240.0,0,0,-98,2018-04-04,11:05
24.33.149.227.215.219,0.66.104.213.240.0,0,1,-96,2018-04-04,11:05
24.33.149.227.215.219,44.208.45.106.167.16,0,0,-83,2018-04-04,11:05
24.33.149.227.215.219,44.208.45.106.167.16,0,1,-85,2018-04-04,11:05
24.33.149.227.215.219,44.208.45.127.67.64,0,0,-95,2018-04-04,11:05
24.33.149.227.215.219,44.208.45.127.67.64,0,1,-95,2018-04-04,11:05
24.33.149.227.215.219,44.208.45.127.103.160,0,0,-81,2018-04-04,11:05
24.33.149.227.215.219,44.208.45.127.103.160,0,1,-79,2018-04-04,11:05
60.5.24.130.242.68,0.66.104.213.240.0,0,0,-95,2018-04-04,11:05
60.5.24.130.242.68,0.66.104.213.240.0,0,1,-98,2018-04-04,11:05
60.5.24.130.242.68,44.208.45.125.172.128,0,0,-41,2018-04-04,11:05
60.5.24.130.242.68,44.208.45.125.172.128,0,1,-50,2018-04-04,11:05
60.5.24.130.242.68,44.208.45.127.103.160,0,0,-83,2018-04-04,11:05
60.5.24.130.242.68,44.208.45.127.103.160,0,1,-82,2018-04-04,11:05
124.145.34.112.221.4,0.66.104.213.240.0,0,0,-66,2018-04-04,11:05
124.145.34.112.221.4,0.66.104.213.240.0,0,1,-62,2018-04-04,11:05
124.145.34.112.221.4,44.208.45.125.172.128,0,0,-86,2018-04-04,11:05
124.145.34.112.221.4,44.208.45.125.172.128,0,1,-85,2018-04-04,11:05
124.145.34.112.221.4,44.208.45.127.67.64,0,0,-45,2018-04-04,11:05
124.145.34.112.221.4,44.208.45.127.67.64,0,1,-49,2018-04-04,11:05
124.145.34.112.221.4,44.208.45.127.103.160,0,0,-96,2018-04-04,11:05
124.145.34.112.221.4,44.208.45.127.103.160,0,1,-97,2018-04-04,11:05
168.161.152.238.141.29,0.66.104.213.240.0,0,0,-98,2018-04-04,11:05
168.161.152.238.141.29,0.66.104.213.240.0,0,1,-99,2018-04-04,11:05
168.161.152.238.141.29,44.208.45.106.167.16,0,0,-86,2018-04-04,11:05
168.161.152.238.141.29,44.208.45.106.167.16,0,1,-86,2018-04-04,11:05
168.161.152.238.141.29,44.208.45.125.172.128,0,0,-89,2018-04-04,11:05
168.161.152.238.141.29,44.208.45.125.172.128,0,1,-90,2018-04-04,11:05
168.161.152.238.141.29,44.208.45.127.67.64,0,0,-97,2018-04-04,11:05
168.161.152.238.141.29,44.208.45.127.67.64,0,1,-97,2018-04-04,11:05
168.161.152.238.141.29,44.208.45.127.103.160,0,0,-66,2018-04-04,11:05
168.161.152.238.141.29,44.208.45.127.103.160,0,1,-70,2018-04-04,11:05
172.253.206.125.31.69,0.66.104.213.240.0,0,0,-99,2018-04-04,11:05
172.253.206.125.31.69,0.66.104.213.240.0,0,1,-98,2018-04-04,11:05
172.253.206.125.31.69,44.208.45.106.167.16,1,0,-76,2018-04-04,11:05
172.253.206.125.31.69,44.208.45.106.167.16,1,1,-76,2018-04-04,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,0,-42,2018-04-04,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,1,-37,2018-04-04,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,0,-66,2018-04-04,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,1,-57,2018-04-04,11:05
172.253.206.125.31.69,44.208.45.127.67.64,0,0,-91,2018-04-04,11:05
172.253.206.125.31.69,44.208.45.127.67.64,0,1,-92,2018-04-04,11:05
