mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-83,2018-09-04,15:05,1,1
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-95,2018-09-04,15:05,1,1
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-97,2018-09-04,15:05,1,1
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-96,2018-09-04,15:05,1,1
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-63,2018-09-04,15:05,1,1
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-61,2018-09-04,15:05,1,1
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-91,2018-09-05,11:05,1,2
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-86,2018-09-05,11:05,1,2
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-94,2018-09-05,11:05,1,2
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-92,2018-09-05,11:05,1,2
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-73,2018-09-05,11:05,1,2
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-64,2018-09-05,11:05,1,2
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-99,2018-09-05,15:05,1,3
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-90,2018-09-05,15:05,1,3
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-09-05,15:05,1,3
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-97,2018-09-05,15:05,1,3
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-67,2018-09-05,15:05,1,3
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-66,2018-09-05,15:05,1,3
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-92,2018-09-06,11:05,1,4
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-92,2018-09-06,11:05,1,4
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-73,2018-09-06,11:05,1,4
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-68,2018-09-06,11:05,1,4
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-93,2018-09-06,15:05,1,5
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-87,2018-09-06,15:05,1,5
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-09-06,15:05,1,5
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-95,2018-09-06,15:05,1,5
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-66,2018-09-06,15:05,1,5
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-71,2018-09-06,15:05,1,5
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-86,2018-09-07,11:05,1,6
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-83,2018-09-07,11:05,1,6
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-95,2018-09-07,11:05,1,6
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-97,2018-09-07,11:05,1,6
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-61,2018-09-07,11:05,1,6
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-64,2018-09-07,11:05,1,6
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-93,2018-09-07,15:05,1,7
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-90,2018-09-07,15:05,1,7
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-96,2018-09-07,15:05,1,7
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-95,2018-09-07,15:05,1,7
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-66,2018-09-07,15:05,1,7
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-63,2018-09-07,15:05,1,7
0.22.235.183.118.194,0.66.104.213.240.0,0,0,-96,2018-09-06,11:05,2,1
0.22.235.183.118.194,0.66.104.213.240.0,0,1,-96,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.106.167.16,0,0,-93,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.106.167.16,0,1,-86,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.106.167.16,1,0,-70,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.106.167.16,1,1,-67,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.125.172.128,0,0,-70,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.125.172.128,0,1,-66,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.125.172.128,1,0,-65,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.125.172.128,1,1,-71,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.127.67.64,0,0,-88,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.127.67.64,0,1,-83,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.127.103.160,0,0,-84,2018-09-06,11:05,2,1
0.22.235.183.118.194,44.208.45.127.103.160,0,1,-96,2018-09-06,11:05,2,1
0.22.235.183.118.194,0.66.104.213.240.0,0,0,-96,2018-09-24,15:05,2,2
0.22.235.183.118.194,0.66.104.213.240.0,0,1,-95,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.106.167.16,0,0,-47,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.106.167.16,0,1,-51,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.106.167.16,1,0,-90,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.106.167.16,1,1,-87,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.125.172.128,0,0,-69,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.125.172.128,0,1,-66,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.125.172.128,1,0,-60,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.125.172.128,1,1,-54,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.127.67.64,0,0,-87,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.127.67.64,0,1,-91,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.127.103.160,0,0,-89,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.127.103.160,0,1,-86,2018-09-24,15:05,2,2
0.22.235.183.118.194,44.208.45.106.167.16,0,0,-88,2018-09-25,11:05,2,3
0.22.235.183.118.194,44.208.45.106.167.16,0,1,-79,2018-09-25,11:05,2,3
0.22.235.183.118.194,44.208.45.106.167.16,1,0,-71,2018-09-25,11:05,2,3
0.22.235.183.118.194,44.208.45.106.167.16,1,1,-63,2018-09-25,11:05,2,3
0.22.235.183.118.194,44.208.45.125.172.128,1,0,-49,2018-09-25,11:05,2,3
0.22.235.183.118.194,44.208.45.125.172.128,1,1,-56,2018-09-25,11:05,2,3
0.22.235.183.118.194,0.66.104.213.240.0,0,0,-97,2018-09-27,11:05,2,4
0.22.235.183.118.194,0.66.104.213.240.0,0,1,-96,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.106.167.16,0,0,-47,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.106.167.16,0,1,-46,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.106.167.16,1,0,-76,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.106.167.16,1,1,-71,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.125.172.128,0,0,-61,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.125.172.128,0,1,-58,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.125.172.128,1,0,-49,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.125.172.128,1,1,-45,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.127.67.64,0,0,-83,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.127.67.64,0,1,-84,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.127.103.160,0,0,-85,2018-09-27,11:05,2,4
0.22.235.183.118.194,44.208.45.127.103.160,0,1,-91,2018-09-27,11:05,2,4
0.22.235.183.132.90,0.66.104.213.240.0,1,0,-79,2018-09-07,11:05,3,1
0.22.235.183.132.90,0.66.104.213.240.0,1,1,-76,2018-09-07,11:05,3,1
0.22.235.183.132.90,0.66.104.213.240.0,0,0,-48,2018-09-07,15:05,3,2
0.22.235.183.132.90,0.66.104.213.240.0,0,1,-43,2018-09-07,15:05,3,2
0.22.235.183.132.90,0.66.104.213.240.0,1,0,-82,2018-09-07,15:05,3,2
0.22.235.183.132.90,0.66.104.213.240.0,1,1,-87,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.106.167.16,0,0,-87,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.106.167.16,0,1,-91,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.125.172.128,0,0,-96,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.125.172.128,0,1,-90,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.127.67.64,0,0,-85,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.127.67.64,0,1,-83,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.127.67.64,1,0,-92,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.127.67.64,1,1,-89,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.127.103.160,0,0,-99,2018-09-07,15:05,3,2
0.22.235.183.132.90,44.208.45.127.103.160,0,1,-95,2018-09-07,15:05,3,2
0.236.10.121.72.124,44.208.45.125.172.128,0,0,-84,2018-09-05,11:05,4,1
0.236.10.121.72.124,44.208.45.125.172.128,0,1,-89,2018-09-05,11:05,4,1
0.236.10.121.72.124,44.208.45.127.103.160,0,0,-68,2018-09-05,11:05,4,1
0.236.10.121.72.124,44.208.45.127.103.160,0,1,-68,2018-09-05,11:05,4,1
0.52.218.56.229.27,0.66.104.213.240.0,0,0,-96,2018-09-10,15:05,5,1
0.52.218.56.229.27,0.66.104.213.240.0,0,1,-98,2018-09-10,15:05,5,1
0.52.218.56.229.27,44.208.45.106.167.16,0,0,-95,2018-09-10,15:05,5,1
0.52.218.56.229.27,44.208.45.106.167.16,0,1,-97,2018-09-10,15:05,5,1
0.52.218.56.229.27,44.208.45.125.172.128,0,0,-92,2018-09-10,15:05,5,1
0.52.218.56.229.27,44.208.45.125.172.128,0,1,-96,2018-09-10,15:05,5,1
0.52.218.56.229.27,44.208.45.127.67.64,0,0,-92,2018-09-10,15:05,5,1
0.52.218.56.229.27,44.208.45.127.67.64,0,1,-94,2018-09-10,15:05,5,1
0.52.218.56.229.27,44.208.45.127.103.160,0,0,-76,2018-09-10,15:05,5,1
0.52.218.56.229.27,44.208.45.127.103.160,0,1,-72,2018-09-10,15:05,5,1
0.8.34.178.232.251,0.66.104.213.240.0,0,0,-54,2018-09-11,15:05,6,1
0.8.34.178.232.251,0.66.104.213.240.0,0,1,-50,2018-09-11,15:05,6,1
0.8.34.178.232.251,0.66.104.213.240.0,1,0,-67,2018-09-11,15:05,6,1
0.8.34.178.232.251,0.66.104.213.240.0,1,1,-64,2018-09-11,15:05,6,1
0.8.34.178.232.251,44.208.45.106.167.16,0,0,-97,2018-09-11,15:05,6,1
0.8.34.178.232.251,44.208.45.106.167.16,0,1,-98,2018-09-11,15:05,6,1
0.8.34.178.232.251,44.208.45.125.172.128,0,0,-97,2018-09-11,15:05,6,1
0.8.34.178.232.251,44.208.45.125.172.128,0,1,-95,2018-09-11,15:05,6,1
0.8.34.178.232.251,44.208.45.127.67.64,0,0,-68,2018-09-11,15:05,6,1
0.8.34.178.232.251,44.208.45.127.67.64,0,1,-62,2018-09-11,15:05,6,1
0.8.34.178.232.251,44.208.45.127.103.160,0,0,-97,2018-09-11,15:05,6,1
0.8.34.178.232.251,44.208.45.127.103.160,0,1,-96,2018-09-11,15:05,6,1
100.119.145.223.7.172,0.66.104.213.240.0,0,0,-95,2018-09-10,19:05,7,1
100.119.145.223.7.172,0.66.104.213.240.0,0,1,-95,2018-09-10,19:05,7,1
100.119.145.223.7.172,44.208.45.106.167.16,0,0,-92,2018-09-10,19:05,7,1
100.119.145.223.7.172,44.208.45.106.167.16,0,1,-86,2018-09-10,19:05,7,1
100.119.145.223.7.172,44.208.45.125.172.128,0,0,-94,2018-09-10,19:05,7,1
100.119.145.223.7.172,44.208.45.125.172.128,0,1,-95,2018-09-10,19:05,7,1
100.119.145.223.7.172,44.208.45.127.67.64,0,0,-96,2018-09-10,19:05,7,1
100.119.145.223.7.172,44.208.45.127.67.64,0,1,-95,2018-09-10,19:05,7,1
100.119.145.223.7.172,44.208.45.127.103.160,0,0,-64,2018-09-10,19:05,7,1
100.119.145.223.7.172,44.208.45.127.103.160,0,1,-70,2018-09-10,19:05,7,1
104.83.88.164.135.194,0.66.104.213.240.0,0,0,-44,2018-09-13,11:05,8,1
104.83.88.164.135.194,0.66.104.213.240.0,0,1,-45,2018-09-13,11:05,8,1
104.83.88.164.135.194,0.66.104.213.240.0,1,0,-67,2018-09-13,11:05,8,1
104.83.88.164.135.194,0.66.104.213.240.0,1,1,-51,2018-09-13,11:05,8,1
104.83.88.164.135.194,44.208.45.106.167.16,0,0,-98,2018-09-13,11:05,8,1
104.83.88.164.135.194,44.208.45.106.167.16,0,1,-99,2018-09-13,11:05,8,1
104.83.88.164.135.194,44.208.45.127.67.64,0,0,-72,2018-09-13,11:05,8,1
104.83.88.164.135.194,44.208.45.127.67.64,0,1,-70,2018-09-13,11:05,8,1
