mac_cliente,mac_ap,banda,antena,rssi,date,time
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-59,2018-10-01,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-56,2018-10-01,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-80,2018-10-01,11:05
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-78,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-94,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-92,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-91,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-88,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-46,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-47,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.127.67.64,1,0,-43,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.127.67.64,1,1,-37,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-99,2018-10-01,11:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-96,2018-10-01,11:05
104.83.88.164.135.194,0.66.104.213.240.0,0,0,-72,2018-10-01,11:05
104.83.88.164.135.194,0.66.104.213.240.0,0,1,-62,2018-10-01,11:05
104.83.88.164.135.194,0.66.104.213.240.0,1,0,-72,2018-10-01,11:05
104.83.88.164.135.194,0.66.104.213.240.0,1,1,-72,2018-10-01,11:05
104.83.88.164.135.194,44.208.45.127.67.64,0,0,-89,2018-10-01,11:05
104.83.88.164.135.194,44.208.45.127.67.64,0,1,-85,2018-10-01,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,0,-56,2018-10-01,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,1,-59,2018-10-01,11:05
216.252.147.127.63.210,0.66.104.213.240.0,0,0,-96,2018-10-01,11:05
216.252.147.127.63.210,0.66.104.213.240.0,0,1,-97,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.106.167.16,0,0,-42,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.106.167.16,0,1,-41,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.106.167.16,1,0,-45,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.106.167.16,1,1,-52,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.125.172.128,0,0,-70,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.125.172.128,0,1,-61,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.125.172.128,1,0,-76,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.125.172.128,1,1,-73,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.127.103.160,0,0,-84,2018-10-01,11:05
216.252.147.127.63.210,44.208.45.127.103.160,0,1,-90,2018-10-01,11:05
240.3.140.45.251.130,0.66.104.213.240.0,0,0,-48,2018-10-01,11:05
240.3.140.45.251.130,0.66.104.213.240.0,0,1,-59,2018-10-01,11:05
240.3.140.45.251.130,44.208.45.106.167.16,0,0,-95,2018-10-01,11:05
240.3.140.45.251.130,44.208.45.106.167.16,0,1,-93,2018-10-01,11:05
240.3.140.45.251.130,44.208.45.125.172.128,0,0,-91,2018-10-01,11:05
240.3.140.45.251.130,44.208.45.125.172.128,0,1,-94,2018-10-01,11:05
240.3.140.45.251.130,44.208.45.127.67.64,0,0,-39,2018-10-01,11:05
240.3.140.45.251.130,44.208.45.127.67.64,0,1,-44,2018-10-01,11:05
240.3.140.45.251.130,44.208.45.127.103.160,0,0,-98,2018-10-01,11:05
240.3.140.45.251.130,44.208.45.127.103.160,0,1,-95,2018-10-01,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-74,2018-10-01,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-66,2018-10-01,15:05
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-92,2018-10-01,15:05
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-88,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-86,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-88,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-84,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-92,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-62,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-44,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.127.67.64,1,0,-67,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.127.67.64,1,1,-63,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-97,2018-10-01,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-97,2018-10-01,15:05
104.83.88.164.135.194,0.66.104.213.240.0,0,0,-72,2018-10-01,15:05
104.83.88.164.135.194,0.66.104.213.240.0,0,1,-62,2018-10-01,15:05
104.83.88.164.135.194,0.66.104.213.240.0,1,0,-72,2018-10-01,15:05
104.83.88.164.135.194,0.66.104.213.240.0,1,1,-72,2018-10-01,15:05
104.83.88.164.135.194,44.208.45.127.67.64,0,0,-89,2018-10-01,15:05
104.83.88.164.135.194,44.208.45.127.67.64,0,1,-85,2018-10-01,15:05
104.83.88.164.143.117,44.208.45.127.103.160,1,0,-92,2018-10-01,15:05
104.83.88.164.143.117,44.208.45.127.103.160,1,1,-86,2018-10-01,15:05
104.83.88.164.143.196,44.208.45.106.167.16,0,0,-50,2018-10-01,15:05
104.83.88.164.143.196,44.208.45.106.167.16,0,1,-49,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.106.167.16,1,0,-53,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.106.167.16,1,1,-47,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.125.172.128,0,0,-61,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.125.172.128,0,1,-58,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.125.172.128,1,0,-73,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.125.172.128,1,1,-68,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.127.67.64,0,0,-97,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.127.67.64,0,1,-93,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.127.103.160,0,0,-77,2018-10-01,15:05
160.136.105.218.32.35,44.208.45.127.103.160,0,1,-75,2018-10-01,15:05
160.211.122.242.205.173,44.208.45.106.167.16,1,0,-43,2018-10-01,15:05
160.211.122.242.205.173,44.208.45.106.167.16,1,1,-46,2018-10-01,15:05
