MAC_AP,building_id
160.224.175.216.51.128,84
40.111.127.12.19.80,84
40.111.127.12.20.112,84
40.111.127.12.20.176,84
40.111.127.12.20.240,84
40.111.127.198.159.192,84
40.111.127.201.212.128,84
40.111.127.201.213.128,84
40.111.127.201.215.48,84
40.111.127.201.216.80,84
40.111.127.201.217.16,84
40.111.127.201.217.160,84
40.111.127.201.217.48,84
40.111.127.223.82.112,84
40.111.127.223.85.240,84
44.208.45.127.104.176,84
44.208.45.132.34.128,84
44.208.45.132.34.96,84
44.208.45.132.35.144,84
44.208.45.132.53.144,84
44.208.45.132.63.144,84
44.208.45.132.63.208,84
44.208.45.132.63.32,84
44.208.45.141.242.192,84
44.208.45.141.255.240,84
44.208.45.141.255.96,84
160.224.175.216.50.48,814
160.224.175.216.57.80,814
40.111.127.12.17.240,814
40.111.127.12.19.96,814
40.111.127.12.4.112,814
40.111.127.148.35.224,814
40.111.127.148.39.80,814
40.111.127.148.39.96,814
40.111.127.198.163.112,814
40.111.127.198.166.240,814
40.111.127.201.200.160,814
40.111.127.201.210.64,814
40.111.127.201.212.112,814
40.111.127.201.212.96,814
40.111.127.201.215.112,814
40.111.127.201.218.208,814
40.111.127.201.218.64,814
40.111.127.223.74.208,814
40.111.127.223.81.160,814
40.111.127.223.81.80,814
40.111.127.223.82.32,814
40.111.127.223.82.80,814
44.208.45.125.176.192,814
44.208.45.128.221.240,814
0.225.109.178.118.144,839
0.225.109.197.4.96,839
0.225.109.197.48.0,839
0.225.109.197.50.96,839
0.225.109.197.51.128,839
0.225.109.200.76.144,839
0.225.109.200.91.112,839
0.225.109.200.91.208,839
0.225.109.200.95.128,839
0.225.109.200.95.176,839
0.66.104.206.103.16,839
0.66.104.253.57.224,839
188.103.28.100.55.80,839
188.103.28.88.105.48,839
188.103.28.88.73.208,839
24.139.157.125.123.224,839
244.207.226.99.33.16,839
28.106.122.157.93.240,839
40.199.206.84.191.112,839
40.199.206.84.192.64,839
56.28.26.197.76.144,839
56.28.26.197.80.128,839
56.28.26.213.60.240,839
80.28.191.94.185.0,839
24.139.157.125.121.192,842
24.139.157.125.136.208,842
24.139.157.125.139.160,842
24.139.157.125.140.32,842
24.139.157.131.41.112,842
24.139.157.141.177.240,842
24.139.157.54.150.144,842
24.139.157.54.52.192,842
24.139.157.86.100.128,842
24.139.157.86.92.96,842
24.139.157.86.93.16,842
24.139.157.86.93.96,842
24.139.157.98.84.112,842
24.139.157.98.90.80,842
24.139.157.98.92.32,842
28.106.122.181.189.112,842
28.106.122.233.108.176,842
28.106.122.233.94.224,842
28.106.122.233.99.32,842
28.106.122.235.166.224,842
28.106.122.235.175.0,842
28.106.122.235.176.128,842
0.66.104.213.240.0,990
44.208.45.106.167.16,990
44.208.45.125.172.128,990
44.208.45.127.103.160,990
44.208.45.127.67.64,990
0.191.119.243.0.96,1361
136.29.252.106.195.16,1361
136.29.252.106.198.0,1361
136.29.252.107.6.208,1361
136.29.252.119.187.224,1361
136.29.252.135.196.48,1361
136.29.252.136.104.112,1361
136.29.252.136.107.80,1361
136.29.252.140.248.48,1361
136.29.252.140.249.224,1361
136.29.252.140.253.32,1361
136.29.252.141.130.0,1361
136.29.252.141.130.32,1361
136.29.252.141.134.16,1361
136.29.252.141.137.96,1361
136.29.252.141.66.176,1361
136.29.252.144.250.0,1361
136.29.252.157.255.176,1361
136.29.252.162.209.224,1361
136.29.252.162.240.240,1361
136.29.252.162.241.48,1361
136.29.252.162.242.112,1361
136.29.252.162.242.32,1361
136.29.252.162.243.112,1361
136.29.252.162.243.128,1361
136.29.252.162.243.224,1361
136.29.252.162.244.64,1361
136.29.252.162.245.96,1361
136.29.252.162.247.192,1361
136.29.252.170.206.224,1361
136.29.252.170.207.80,1361
136.29.252.170.209.112,1361
136.29.252.214.3.224,1361
