MAC_AP,building_id
0.53.26.5.154.0,891
0.53.26.5.239.208,1318
0.53.26.5.244.192,1052
0.53.26.5.246.96,1308
0.53.26.5.247.128,1406
0.53.26.8.36.48,602
0.53.26.8.40.224,152
0.53.26.8.41.48,517
0.53.26.17.170.64,1044
0.53.26.17.170.80,891
0.53.26.17.172.80,295
0.53.26.17.173.128,1279
0.53.26.17.177.64,1052
0.53.26.17.177.112,517
0.53.26.17.179.128,1307
0.53.26.25.217.32,873
0.53.26.53.110.112,295
0.53.26.53.121.224,869
0.53.26.53.123.96,873
0.53.26.53.123.144,295
0.53.26.53.123.176,1096
0.53.26.53.124.64,873
0.53.26.53.125.224,873
0.53.26.53.126.0,1333
0.53.26.53.126.144,1307
0.53.26.53.127.0,1052
0.53.26.53.127.32,489
0.53.26.53.127.112,1318
0.53.26.53.128.0,873
0.53.26.53.129.64,718
0.53.26.53.129.80,1383
0.53.26.53.133.48,517
0.58.125.9.192.128,1193
0.58.125.9.193.112,709
0.58.125.9.193.208,825
0.58.125.9.194.0,825
0.58.125.9.194.160,963
0.58.125.9.194.176,416
0.58.125.9.194.224,677
0.58.125.9.195.80,625
0.58.125.9.195.96,1099
0.58.125.9.195.240,546
0.58.125.9.196.96,465
0.58.125.9.196.208,875
0.58.125.9.197.0,709
0.58.125.9.197.16,677
0.58.125.9.197.128,1383
0.58.125.9.197.208,579
0.58.125.9.197.224,875
0.58.125.9.199.32,563
0.58.125.9.199.64,1414
0.58.125.9.200.16,1227
0.58.125.9.200.32,620
0.58.125.18.144.224,939
0.58.125.19.79.80,465
0.58.125.19.80.128,1341
0.58.125.19.80.208,963
0.58.125.19.81.32,504
0.58.125.19.81.80,1398
0.58.125.19.81.160,963
0.58.125.19.82.112,1383
0.58.125.19.82.144,1414
0.58.125.19.82.192,625
0.58.125.19.83.96,1414
0.58.125.19.83.224,1307
0.58.125.19.85.16,1255
0.58.125.19.85.64,379
0.58.125.19.85.144,1097
0.58.125.19.87.64,414
0.58.125.19.133.240,414
0.58.125.19.139.32,1407
0.58.125.19.139.192,736
0.58.125.19.140.32,563
0.58.125.19.140.80,1084
0.58.125.19.140.96,14
0.58.125.19.141.128,1099
0.58.125.19.142.112,781
0.58.125.19.142.144,565
0.58.125.19.142.192,423
0.58.125.19.143.0,1396
0.58.125.19.143.64,781
0.58.125.19.143.112,565
0.58.125.19.143.144,890
0.58.125.19.143.192,1269
0.58.125.19.143.224,608
0.58.125.19.144.0,565
0.58.125.19.144.16,615
0.58.125.19.144.160,1014
0.58.125.19.150.16,475
0.58.125.19.152.208,580
0.58.125.19.153.16,875
0.58.125.19.157.48,608
0.58.125.19.162.208,1413
0.58.125.19.165.208,728
0.58.125.19.167.112,890
0.58.125.19.169.128,939
0.58.125.19.169.144,271
0.58.125.19.170.160,420
0.58.125.19.170.192,1384
0.58.125.19.171.0,595
0.58.125.19.171.32,944
0.58.125.19.171.208,271
0.58.125.19.171.240,504
0.58.125.19.172.16,1411
0.58.125.19.172.48,1411
0.58.125.19.172.64,271
0.58.125.19.172.128,271
0.58.125.19.173.16,1269
0.58.125.19.173.208,610
0.58.125.19.173.224,1165
0.58.125.19.174.48,465
0.58.125.19.174.80,535
0.58.125.19.174.96,1097
0.58.125.19.174.128,595
0.58.125.19.174.144,608
0.58.125.19.176.80,378
0.58.125.19.176.128,1099
0.58.125.19.176.176,728
0.58.125.19.177.224,15
0.58.125.31.100.0,743
0.58.125.31.100.48,1393
0.58.125.31.100.64,1311
0.58.125.31.100.128,614
0.58.125.31.100.144,1403
0.58.125.31.100.192,580
0.58.125.31.100.208,1396
0.58.125.31.100.240,1396
0.58.125.31.101.0,1403
0.58.125.31.101.32,31
0.58.125.31.101.64,702
0.58.125.31.101.80,710
0.58.125.31.101.112,1325
0.58.125.47.1.64,707
0.58.125.47.1.112,563
0.58.125.47.1.128,608
0.58.125.47.1.224,832
0.58.125.47.5.16,15
0.58.125.47.5.160,702
0.58.125.47.12.176,264
0.58.125.47.13.144,1338
0.58.125.47.15.32,1099
0.58.125.90.178.160,963
0.58.125.90.178.224,1234
0.58.125.90.179.48,625
0.58.125.90.179.192,1255
0.58.125.90.180.96,620
0.58.125.90.180.128,563
0.58.125.90.180.144,837
0.58.125.90.180.160,375
0.58.125.90.180.208,743
0.58.125.90.181.0,532
0.58.125.90.181.48,728
0.58.125.90.181.144,728
0.58.125.90.182.32,1255
0.58.125.90.183.112,1311
0.58.125.90.188.112,1414
0.58.125.91.18.32,709
0.58.125.91.18.80,1045
0.58.125.91.21.16,100
0.58.125.91.21.32,15
0.58.125.91.21.112,762
0.58.125.91.21.128,736
0.58.125.91.21.160,1104
0.58.125.91.22.16,1407
0.58.125.91.22.128,1422
0.58.125.91.22.160,423
0.58.125.91.22.224,15
0.58.125.91.22.240,1411
0.58.125.91.23.64,420
0.58.125.91.23.112,881
0.58.125.91.23.128,414
0.58.125.91.23.144,1255
0.58.125.91.23.192,825
0.58.125.91.23.224,836
0.58.125.112.103.144,1310
0.58.125.112.107.224,1338
0.58.125.112.111.160,318
0.58.125.112.118.208,407
0.58.125.112.123.80,264
0.58.125.112.124.0,532
0.58.125.112.129.80,1255
0.58.125.112.129.96,407
0.58.125.112.129.160,1255
0.58.125.112.129.192,1383
0.58.125.112.129.208,1255
0.58.125.112.130.32,875
0.58.125.112.131.208,407
0.58.125.112.132.32,625
0.58.125.112.132.144,1311
0.58.125.112.132.240,135
0.58.125.112.133.96,478
0.58.125.112.133.128,741
0.58.125.112.133.224,610
0.58.125.112.136.240,379
0.58.125.112.139.0,579
0.58.125.112.141.0,586
0.58.125.112.141.96,1411
0.58.125.112.144.32,1398
0.58.125.112.144.48,1310
0.58.125.112.144.80,309
0.58.125.112.144.96,1386
0.58.125.112.144.128,532
0.58.125.112.148.32,677
0.58.125.112.148.48,264
0.58.125.112.148.96,620
0.58.125.112.148.144,1099
0.58.125.112.148.160,1398
0.58.125.112.148.176,1383
0.58.125.112.148.208,879
0.58.125.112.148.240,837
0.58.125.112.149.32,677
0.58.125.112.149.48,135
0.58.125.112.149.64,318
0.58.125.153.57.96,414
0.58.125.153.68.208,1230
0.58.125.153.69.192,933
0.58.125.153.70.0,700
0.58.125.153.72.80,268
0.58.125.153.72.176,1407
0.58.125.153.72.192,1403
0.58.125.153.72.224,148
0.58.125.153.73.0,702
0.58.125.153.73.16,423
0.58.125.153.73.80,565
0.58.125.153.73.240,1255
0.58.125.153.74.16,710
0.58.125.153.76.144,107
0.58.125.153.77.224,414
0.58.125.153.81.32,933
0.58.125.153.81.112,1307
0.58.125.153.101.240,1325
0.58.125.153.102.144,1097
