mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index,timestamp_real,timeframe
120.146.156.189.74.58,0.66.104.213.240.0,0,0,-97.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
120.146.156.189.74.58,0.66.104.213.240.0,0,1,-97.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
120.146.156.189.74.58,0.66.104.213.240.0,1,0,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
120.146.156.189.74.58,0.66.104.213.240.0,1,1,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.106.167.16,0,0,-63.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.106.167.16,0,1,-61.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.106.167.16,1,0,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.106.167.16,1,1,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.125.172.128,0,0,-59.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.125.172.128,0,1,-51.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.125.172.128,1,0,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.125.172.128,1,1,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.127.67.64,0,0,-96.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.127.67.64,0,1,-92.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.127.67.64,1,0,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.127.67.64,1,1,-101.0,2018-11-13,11:05:00,,,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.127.103.160,0,0,-85.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
120.146.156.189.74.58,44.208.45.127.103.160,0,1,-88.0,2018-11-13,11:05:00,16.0,1.0,2018-11-13 11:05:00,2
